ID,Country,ISO3,Inward,Outward
1,United Kingdom,GBR,361133148222.0,135581531051.0
2,Australia,AUS,490551416208.0,543292922619.0
3,Bermuda,BMU,135360412083.0,131536415136.0
4,Canada,CAN,813169062693.0,1480386504386.0
5,Cayman Islands,CYM,6246781000.0,25409543328.0
6,Ireland,IRL,361018861940.0,169780826192.0
7,Finland,FIN,124012240929.0,212694470323.0
8,France,FRA,1343919418496.0,1298951528457.0
9,Greece,GRC,18556089680.0,22899743654.0
10,Hong Kong SAR,HKG,818943141659.0,995171907429.0
11,Italy,ITA,299016614466.0,426415625112.0
12,Japan,JPN,3843091451879.0,3086860156389.0
13,Luxembourg,LUX,75591575741.0,169397941358.0
14,Malaysia,MYS,231033345657.0,339737434147.0
15,New Zealand,NZL,19488110963.0,28133714787.0
16,Poland,POL,100309350552.0,104104886051.0
17,South Africa,ZAF,328820631559.0,390933985433.0
18,Singapore,SGP,241904612632.0,613156577389.0
19,"Taiwan, R.O.C.",TWN,578496439136.0,481105615623.0
20,Thailand,THA,257704318244.0,302093311637.0
21,United States,USA,15945469357140.0,27107253505610.0
22,Denmark,DNK,171237189184.0,182782658904.0
23,Norway,NOR,203036950118.0,814533967843.0
24,Portugal,PRT,41197141440.0,34414407586.0
25,Spain,ESP,272687572868.0,391423296180.0
26,Sweden,SWE,428855644485.0,576102004082.0
27,Austria,AUT,92258458641.0,78354451699.0
28,Belgium,BEL,164315012703.0,216075291903.0
29,Germany,DEU,1100339495997.0,1145174431693.0
30,Netherlands,NLD,378226969439.0,571307588945.0
31,Switzerland,CHE,832918582065.0,778285289613.0
32,Cyprus,CYP,830936950.0,60626691920.0
33,Israel,ISR,103211542527.0,116246501723.0
34,Russian Federation,RUS,352614180130.0,283767466210.0
35,Malta,MLT,3721371961.0,291702561.0
36,Hungary,HUN,20848003178.0,14905866026.0
37,Turkey,TUR,70000293862.0,91859388485.0
38,Bulgaria,BGR,1136733898.0,2575749326.0
39,Czech Republic,CZE,21016786160.0,12031478161.0
40,Slovakia,SVK,4292346334.0,990969610.0
41,Lithuania,LTU,204839332.0,3009358031.0
42,Slovenia,SVN,3663253827.0,3534502989.0
43,Argentina,ARG,19848491405.0,32531222465.0
44,Brazil,BRA,654933754313.0,513883367207.0
45,Belarus,BLR,0.0,0.0
46,Chile,CHL,156860655093.0,181518383610.0
47,China,CHN,3936103632134.0,5275434496825.0
48,Colombia,COL,87330951940.0,79405094041.0
49,Ecuador,ECU,0.0,152107886.0
50,European Zone,no data,0.0,0.0
51,Egypt,EGY,10538823179.0,21595677679.0
52,Estonia,EST,87217480.0,2577832281.0
53,Guatemala,GTM,0.0,261355.0
54,India,IND,894251677836.0,1280101012533.0
55,Kenya,KEN,255328702.0,14300850.0
56,Kuwait,KWT,29995402745.0,55218107889.0
57,Latvia,LVA,63630833.0,331836948.0
58,Lebanon,LBN,2778948712.0,5083945982.0
59,Mexico,MEX,97896210490.0,118246849493.0
60,Morocco,MAR,22272774341.0,31188649664.0
61,Pakistan,PAK,906268098.0,3077417274.0
62,Panama,PAN,386437729.0,4451518346.0
63,Paraguay,PRY,0.0,1139329.0
64,Peru,PER,91808732881.0,51019692557.0
65,Philippines,PHL,114095384990.0,108920993620.0
66,Saudi Arabia,SAU,36550007100.0,273204063753.0
67,"Korea, Rep. (South)",KOR,1020012968945.0,760113888093.0
68,Tanzania,TZA,1178077567.0,429755.0
69,Tunisia,TUN,1188049295.0,1745076428.0
70,United Arab Emirates,ARE,56505620297.0,192734242978.0
71,Ukraine,UKR,0.0,726977643.0
72,Uruguay,URY,0.0,1465542919.0
73,Venezuela,VEN,0.0,26309927.0
74,Vietnam,VNM,48982806175.0,49810397845.0
75,Zambia,ZMB,77982.0,152279.0
76,Gibraltar,GIB,0.0,1455566905.0
77,Monaco,MCO,2266452962.0,12961498274.0
78,Iceland,ISL,1912801927.0,7240992494.0
79,Nether. Antilles,CUW,0.0,17642323.0
80,Romania,ROU,912987075.0,7721865246.0
81,Aruba,ABW,0.0,0.0
82,Bahamas,BHS,0.0,13343861393.0
83,Bahrain,BHR,10461786341.0,9526154057.0
84,Bangladesh,BGD,49339445.0,1557671.0
85,Barbados,BRB,13070804.0,2419052646.0
86,Belize,BLZ,0.0,25708877.0
87,Bolivia,BOL,0.0,167767218.0
88,Botswana,BWA,0.0,96470064.0
89,Costa Rica,CRI,0.0,214065.0
90,Cuba,CUB,0.0,0.0
91,Dominica,DMA,0.0,0.0
92,El Salvador,SLV,0.0,0.0
93,Fiji,FJI,0.0,24241317.0
94,Ghana,GHA,0.0,121437977.0
95,Haiti,HTI,0.0,0.0
96,Indonesia,IDN,182417551388.0,217955361518.0
97,Iran,IRN,0.0,339408911.0
98,Jamaica,JAM,0.0,0.0
99,Jordan,JOR,15094201875.0,14618421860.0
100,Lesotho,LSO,0.0,0.0
101,Liberia,LBR,0.0,1328078309.0
102,Libyan Arab Jamahiriya,LBY,0.0,2692891640.0
103,Malawi,MWI,0.0,6354368.0
104,Mauritius,MUS,173993731.0,14052251827.0
105,Myanmar,MMR,0.0,0.0
106,Nigeria,NGA,168911460.0,8692226278.0
107,Papua New Guinea,PNG,0.0,1646776350.0
108,Seychelles,SYC,0.0,3057778437.0
109,Sri Lanka,LKA,0.0,10634542.0
110,Swaziland,SWZ,0.0,9775394.0
111,Trinidad and Tobago,TTO,0.0,35442754.0
112,Uganda,UGA,0.0,3913863.0
113,Vanuatu,VUT,0.0,15009826.0
115,"Congo, Democratic Republic of",COD,0.0,0.0
116,Zimbabwe,ZWE,2926843.0,15808877.0
117,Antigua and Barbuda,ATG,0.0,0.0
118,Virgin Islands (UK),VGB,24833465507.0,221652942871.0
119,Cameroon,CMR,0.0,1449082.0
120,Cook Islands,COK,0.0,36504001.0
121,Gabon,GAB,0.0,6998691.0
122,Guernsey,GGY,4876548630.0,10656669146.0
123,Isle of Man,IMN,4827447118.0,2754674101.0
124,Cote-D'Ivoire,CIV,0.0,280678112.0
125,Jersey,JEY,76468371403.0,45321007898.0
126,Liechtenstein,LIE,385667774.0,6345842881.0
127,Puerto Rico,PRI,3401351581.0,333272629.0
129,Togo,TGO,722587549.0,0.0
130,Virgin Islands (US),VIR,0.0,2481364542.0
131,Oman,OMN,5633921583.0,11090896002.0
132,Algeria,DZA,0.0,1216477055.0
133,Albania,ALB,0.0,0.0
134,Andorra,AND,0.0,602433807.0
135,Anguilla,AIA,18441348.0,102567205.0
136,Central African Rep.,CAF,0.0,0.0
137,Croatia,HRV,14247165019.0,7166504181.0
138,Falkland (Malvinas),FLK,0.0,0.0
139,Guinea,GIN,0.0,29674.0
140,Laos,LAO,0.0,0.0
141,Madagascar,MDG,0.0,0.0
142,Maldives,MDV,0.0,5478431.0
143,Namibia,NAM,0.0,861606900.0
144,Nepal,NPL,0.0,32307040.0
145,New Caledonia,NCL,0.0,127182052.0
146,"Korea, Dem. People's Rep. of",PRK,387808171.0,34233908.0
147,Qatar,QAT,30839973658.0,120930979538.0
149,Samoa,WSM,0.0,545876378.0
150,Suriname,SUR,0.0,222517.0
151,Yemen,YEM,0.0,38855410.0
152,Turks and Caicos Islands,TCA,0.0,7449743.0
153,Senegal,SEN,0.0,0.0
154,Kazakhstan,KAZ,4342680048.0,10030428360.0
155,Chad,TCD,0.0,0.0
156,Cape Verde,CPV,0.0,0.0
157,Sudan,SDN,0.0,893327.0
158,Afghanistan,AFG,0.0,0.0
159,American Samoa,ASM,0.0,0.0
160,Angola,AGO,0.0,620230239.0
161,Antartics,ATA,0.0,0.0
162,Armenia,ARM,0.0,0.0
163,Azerbaijan,AZE,0.0,1339910314.0
164,Benin,BEN,0.0,0.0
165,Bhutan,BTN,0.0,0.0
166,Bosnia & Herzegovina,BIH,0.0,885294.0
167,Bouvet Island,BVT,0.0,0.0
168,British Territory Ind. Ocean,IOT,0.0,2873653.0
169,Brunei Darussalam,BRN,0.0,165729365.0
170,Burkina Faso,BFA,0.0,0.0
171,Burundi,BDI,0.0,1952708.0
172,Cambodia,KHM,0.0,684764.0
173,Christmas Island,CXR,0.0,0.0
174,Cocos (Keeling) Islands,CCK,0.0,0.0
175,Comoros,COM,0.0,0.0
176,"Congo, Republic of the",COG,0.0,0.0
177,Djibouti,DJI,0.0,0.0
178,Dominican Republic,DOM,0.0,12216.0
179,Timor-Leste,TLS,0.0,0.0
180,Equatorial Guinea,GNQ,0.0,0.0
181,Eritrea,ERI,0.0,0.0
182,Ethiopia,ETH,0.0,0.0
183,Faroe Islands,FRO,0.0,490187563.0
184,France Metropolitan,FRA,0.0,0.0
185,French Antilles,FRA,0.0,0.0
186,French Guiana,GUF,0.0,0.0
187,French Polynesia,PYF,0.0,0.0
188,French Southern Territories,ATF,0.0,0.0
189,Gambia,GMB,0.0,0.0
190,Georgia,GEO,0.0,1721235804.0
191,Greenland,GRL,0.0,50483833.0
192,Grenada,GRD,0.0,114.0
193,Guadeloupe,GLP,0.0,52.0
194,Guam,GUM,0.0,0.0
195,Guinea Bissau,GNB,0.0,0.0
196,Guyana,GUY,0.0,14823.0
197,Heard Island and McDonald Islands,HMD,0.0,0.0
198,Holy See (Vatican City State),VAT,0.0,0.0
199,Honduras,HND,0.0,0.0
200,Iraq,IRQ,23584.0,248458923.0
201,Kiribati,KIR,0.0,0.0
202,Kyrgyzstan,KGZ,0.0,444837736.0
203,Macau,MAC,58503323.0,34721819.0
204,Macedonia,MKD,0.0,0.0
205,Mali,MLI,0.0,2137038.0
206,Marshall Islands,MHL,0.0,96036280.0
207,Martinique,MTQ,0.0,0.0
208,Mauritania,MRT,0.0,0.0
209,Mayotte,MYT,0.0,0.0
210,Micronesia,FSM,0.0,0.0
211,Moldova,MDA,0.0,0.0
212,Mongolia,MNG,0.0,6745293.0
213,Montserrat,MSR,0.0,0.0
214,Mozambique,MOZ,0.0,0.0
215,Nauru,NRU,0.0,0.0
216,Nicaragua,NIC,0.0,9201568.0
217,Niger,NER,0.0,0.0
218,Niue,NIU,0.0,0.0
219,Norfolk Island,NFK,0.0,0.0
220,Northern Mariana Islands,MNP,0.0,0.0
221,Palau,PLW,0.0,0.0
222,Pitcairn,PCN,0.0,0.0
223,Reunion,REU,0.0,0.0
224,Rwanda,RWA,0.0,0.0
225,San Marino,SMR,0.0,0.0
226,Sao Tome & Principe,STP,0.0,0.0
227,Sierra Leone,SLE,0.0,825.0
228,Solomon Islands,SLB,0.0,4091344.0
229,Somalia,SOM,0.0,0.0
230,South Georgia and South Sandwich Islands,SGS,0.0,0.0
231,Soviet Union,SUN,0.0,0.0
232,St. Helena,SHN,0.0,0.0
233,St. Kitts and Nevis,KNA,0.0,19007152.0
234,St. Lucia,LCA,0.0,10919.0
235,St. Pierre and Miquelon,SPM,0.0,0.0
236,St. Vincent and the Grenadines,VCT,0.0,18428880.0
237,Svalbard and Jan Mayen,SJM,0.0,0.0
238,Syria,SYR,0.0,324834483.0
239,Tajikistan,TJK,0.0,0.0
240,Tokelau,TKL,0.0,0.0
241,Tonga,TON,0.0,0.0
242,Turkmenistan,TKM,0.0,0.0
243,Tuvalu,TUV,0.0,0.0
244,United States Minor Outlaying,USA,0.0,2923924.0
245,Uzbekistan,UZB,0.0,0.0
246,Wallis and Futuna,WLF,0.0,0.0
247,West Indian States,IND,0.0,0.0
248,Western Sahara,ESH,0.0,0.0
249,England,GBR,1268998408203.0,3973363947174.0
250,Northern Ireland,GBR,0.0,443179481.0
251,Scotland,GBR,42784667135.0,384905767409.0
252,Wales,GBR,6041949505.0,208466122.0
253,West Indies (British),GBR,0.0,0.0
254,West Indies (French),FRA,0.0,0.0
255,Channel Islands,GBR,0.0,374349970.0
256,Serbia,SRB,0.0,5952.0
258,Republic of Kosovo,XKX,0.0,0.0
259,Montenegro,MNE,0.0,0.0
282,・・and Islands,,0.0,0.0
283,"Bonaire, St. Eustatius and Saba",BES,0.0,0.0
284,Curacao,CUW,0.0,3020052178.0
285,Palestinian Territories,PSE,398221412.0,608287181.0
286,Sint Maarten,SXM,0.0,0.0
287,Saint Barthelemy,BLM,0.0,0.0
288,Saint Martin,MAF,0.0,0.0
289,Sudan (South),SSD,0.0,0.0
0,,,21077745710535.0,9910051045.0
